,,,,,,,,,,
,ACTIVITY,Non-badge activity,AREA,PERIOD 1,PERIOD 2,PERIOD 3,PERIOD 4,PERIOD 5,PERIOD 6,Updated: 2/26/26
,Archaeology,,nature,,,y,,,,
,Astronomy,,nature,y,,,,,,
,Chemistry,,nature,,,,y,,,
,Environmental Science,,nature,y,c,,,y,c,
,Geology; Soil and Water Conservation,,nature,,,,,y,,
,Fish and Wildlife Management; Forestry,,nature,y,,,,,y,
,Nature,,nature,,,,y,,,
,Oceanography; Weather,,nature,,y,y,,,,
,Space Exploration,,nature,,,,,,y,
,Sustainability,,nature,,y,,,,,
,Archery,,rata,,,,y,y,y,
,Johnny Fry,x,rata,,,,,y,,
,Rifle Shooting,,rata,y,,y,y,y,,
,Shotgun Shooting,,rata,y,y,y,,,,
,Adventure Treck,x,scoutcraft,,,,,,y,
,Camping,,scoutcraft,,,,y,y,,
,Exploration,,scoutcraft,,,,,y,,
,Orienteering,,scoutcraft,,,,,,y,
,Pioneers Program,x,scoutcraft,y,c,c,,,,
,Search and Rescue,,scoutcraft,,,,y,,,
,Signs Signals and Codes,,scoutcraft,,,,,y,,
,Wilderness Survival,,scoutcraft,,,,,,y,
,Automotive Maintenance,,trades,,,y,y,y,,
,Electronics; Electricity,,trades,,y,,,,,
,Farm Mechanics,,trades,,,,,y,,
,Painting; Woodworking,,trades,,,,,y,y,
,Plumbing,,trades,,,y,,,,
,Radio,,trades,y,,,,,,
,Welding,,trades,y,y,,,,,
,Crime Prevention; Fingerprinting,,trades,,,,y,,y,
,Cycling,,trades,,,y,,,,
,Golf,,trades,y,,,,,,
,Chess,,trades,,y,,y,,,
,Beginner Swimmer Instruction,x,aquatics,,,,,y,y,
,Lifesaving,,aquatics,y,c,,,,,
,Non-Swimmer Instruction,x,aquatics,,,,,y,y,
,Swimming,,aquatics,,y,c,y,c,,
,Swimming or Lifesaving help,,aquatics,,,y,,,,
,Canoeing; Kayaking,,aquatics,,y,c,,y,c,
,Fishing,,aquatics,y,,,,,,
,Paddleboarding,x,aquatics,,,y,,,,
,Climbing,,cope,y,c,,,,,
,COPE,x,cope,y,c,c,,,,
,Citizenship in the Community,,eagle,y,,,y,,,
,Citizenship in the Nation,,eagle,,y,,,y,,
,Citizenship in the World,,eagle,,,y,,,y,
,Communication,,eagle,y,,,y,,,
,Cooking,,eagle,y,c,,,y,c,
,Emergency Preparedness,,eagle,,,y,,,y,
,First Aid,,eagle,,y,,y,,,
,Personal Fitness,,eagle,y,,y,,,,
,Personal Managemnet,,eagle,,y,,,y,,
,Art,,handicraft,,,,y,,y,
,leatherwork,,handicraft,y,,,,y,y,
,Metalwork,,handicraft,y,y,y,,y,,
,Pottery,,handicraft,,y,y,y,,,
,Woodcarving,,handicraft,y,y,,,,,
,Drafting,,innovation scouting,,,y,,,,
,Innovation scouts,x,innovation scouting,y,c,,,y,c,
,American Cultures,,mic-o-say,y,,,,,,
,American Indian Culture,,mic-o-say,,y,y,,y,,
,Dance Practice,x,mic-o-say,,,,y,,,
