,,,,,,,,,,
,ACTIVITY,Non-badge activity,AREA,PERIOD 1,PERIOD 2,PERIOD 3,PERIOD 4,PERIOD 5,PERIOD 6,Updated: 2/26/26
,Fish and Wildlife Management; Forestry,,NATURE,y,,,,,y,
,Archaeology,,NATURE,,,y,,,,
,Environmental Science,,NATURE,y,c,,,y,c,
,Geology; Soil and Water Conservation,,NATURE,,,,,y,,
,Nature,,NATURE,,,,y,,,
,Oceanography; Weather,,NATURE,,y,y,,,,
,Space Exploration,,NATURE,,,,,,y,
,Sustainability,,NATURE,,y,,,,,
,Archery,,RANGE AND TARGET,,,,y,y,y,
,Johnny Fry,x,RANGE AND TARGET,,,,,y,,
,Rifle Shooting,,RANGE AND TARGET,y,,y,y,y,,
,Shotgun Shooting,,RANGE AND TARGET,y,y,y,,,,
